id,abbreviation,expected,reviewer_1,reviewer_2,checked_date,notes
dev_001,BP,blood pressure,Lassaad,Rami,2026-09-11,
dev_002,AF,atrial fibrillation,Lassaad,Rami,2026-09-11,
dev_003,BMI,body mass index,Lassaad,Rami,2026-09-11,
dev_004,CSF,cerebrospinal fluid,Lassaad,Rami,2026-09-11,
dev_005,CVP,central venous pressure,Lassaad,Rami,2026-09-11,
dev_006,CXR,chest X-ray,Lassaad,Rami,2026-09-11,
dev_007,DVT,deep vein thrombosis,Lassaad,Rami,2026-09-11,
dev_008,ECG,electrocardiogram,Lassaad,Rami,2026-09-11,
dev_009,EEG,electroencephalogram,Lassaad,Rami,2026-09-11,
dev_010,MRI,magnetic resonance imaging,Lassaad,Rami,2026-09-11,
test_001,AMHP,approved mental health professional,Lassaad,Rami,2026-09-11,
test_002,APTT,activated partial thromboplastin time,Lassaad,Rami,2026-09-11,
test_003,BNO,bowels not open,Lassaad,Rami,2026-09-11,
test_004,BO,bowels open,Lassaad,Rami,2026-09-11,
test_005,CMHN,community mental health nurse,Lassaad,Rami,2026-09-11,
test_006,CPN,community psychiatric nurse,Lassaad,Rami,2026-09-11,
test_007,CSU,catheter stream urine sample,Lassaad,Rami,2026-09-11,
test_008,DNACPR,do not attempt cardiopulmonary resuscitation,Lassaad,Rami,2026-09-11,
test_009,DNAR,do not attempt resuscitation,Lassaad,Rami,2026-09-11,
test_010,DNR,do not resuscitate,Lassaad,Rami,2026-09-11,
test_011,Dx,diagnosis,Lassaad,Rami,2026-09-11,
test_012,ED,emergency department,Lassaad,Rami,2026-09-11,
test_013,EMU,early morning urine sample,Lassaad,Rami,2026-09-11,
test_014,ESR,erythrocyte sedimentation rate,Lassaad,Rami,2026-09-11,
test_015,EUA,examination under anaesthetic,Lassaad,Rami,2026-09-11,
test_016,FBC,full blood count,Lassaad,Rami,2026-09-11,
test_017,FOBT,faecal occult blood test,Lassaad,Rami,2026-09-11,
test_018,FIT,faecal immunochemical test,Lassaad,Rami,2026-09-11,
test_019,GA,general anaesthetic,Lassaad,Rami,2026-09-11,
test_020,Hb,haemoglobin,Lassaad,Rami,2026-09-11,
test_021,HCA,healthcare assistant,Lassaad,Rami,2026-09-11,
test_022,HCSW,healthcare support worker,Lassaad,Rami,2026-09-11,
test_023,HDL,high-density lipoprotein,Lassaad,Rami,2026-09-11,
test_024,HRT,hormone replacement therapy,Lassaad,Rami,2026-09-11,
test_025,Ht,height,Lassaad,Rami,2026-09-11,
test_026,Hx,history,Lassaad,Rami,2026-09-11,
test_027,INR,international normalised ratio,Lassaad,Rami,2026-09-11,
test_028,IVI,intravenous infusion,Lassaad,Rami,2026-09-11,
test_029,IVP,intravenous pyelogram,Lassaad,Rami,2026-09-11,
test_030,Ix,investigations,Lassaad,Rami,2026-09-11,
test_031,LA,local anaesthetic,Lassaad,Rami,2026-09-11,
test_032,LDL,low-density lipoprotein,Lassaad,Rami,2026-09-11,
test_033,LFT,liver function test,Lassaad,Rami,2026-09-11,
test_034,LMP,last menstrual period,Lassaad,Rami,2026-09-11,
test_035,M/R,modified release,Lassaad,Rami,2026-09-11,
test_036,MSU,mid-stream urine sample,Lassaad,Rami,2026-09-11,
test_037,NAD,nothing abnormal discovered,Lassaad,Rami,2026-09-11,
test_038,NAI,non-accidental injury,Lassaad,Rami,2026-09-11,
test_039,NBM,nil by mouth,Lassaad,Rami,2026-09-11,
test_040,NG,nasogastric,Lassaad,Rami,2026-09-11,
test_041,NoF,neck of femur,Lassaad,Rami,2026-09-11,
test_042,OT,occupational therapist,Lassaad,Rami,2026-09-11,
test_043,POD,podiatrist,Lassaad,Rami,2026-09-11,
test_044,PT,physiotherapist,Lassaad,Rami,2026-09-11,
test_045,POP,plaster of paris,Lassaad,Rami,2026-09-11,
test_046,PTT,partial thromboplastin time,Lassaad,Rami,2026-09-11,
test_047,PU,passed urine,Lassaad,Rami,2026-09-11,
test_048,RNLD,learning disability nurse,Lassaad,Rami,2026-09-11,
test_049,ROSC,return of spontaneous circulation,Lassaad,Rami,2026-09-11,
test_050,S/R,sustained release,Lassaad,Rami,2026-09-11,
